ISO3,Country,Continent,Hemisphere,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),Inequality in income (2010),Inequality in income (2011),Inequality in income (2012),Inequality in income (2013),Inequality in income (2014),Inequality in income (2015),Inequality in income (2016),Inequality in income (2017),Inequality in income (2018),Inequality in income (2019),Inequality in income (2020),Inequality in income (2021),PCA1,PCA2,Cluster,Inequality Status
PNG,Papua New Guinea,Oceania,Southern Hemisphere,Medium,EAP,1.13292130244621,-0.0459981079053174,-0.0555774666642547,-0.0316169786887095,-0.0796525199518605,-0.115761004529523,-0.0921498200320227,0.905064797247503,0.928169940101944,0.94623521054329,0.951255163533722,0.992592582880956,0.992592582880956,1.54889957162535,-1.42457176758295,0,Low Inequality
POL,Poland,Europe,Northern Hemisphere,Very High,SSA,-1.10516123626221,-0.810405987288269,-0.645708684781361,-0.679598550825523,-0.685439950682471,-0.649241911961078,-0.643544513616641,-0.767740079622172,-1.09208368451182,-1.22464990986044,-1.21820951854395,-1.31042151865453,-1.31042151865453,-3.19146115703879,0.607664426701941,2,High Inequality
PRK,North Korea,Asia,Northern Hemisphere,Very High,EAP,0.032224971933871,-0.0459981079053174,-0.0555774666642547,-0.0316169786887095,-0.0796525199518605,-0.115761004529523,-0.0921498200320227,-0.029889855523742,-0.0590572403800328,-0.0697100602763406,-0.0767876066036791,-0.102701360690709,-0.102701360690709,-0.25004939233654,0.0370541826316204,0,Low Inequality
PRT,Portugal,Europe,Northern Hemisphere,Very High,SSA,-1.03178148089472,-0.291627159506506,-0.374446747942973,-0.304506880329139,-0.269909996071806,-0.222535311750758,-0.245949397559935,-0.300459343612649,-0.580314171308145,-0.761194550793937,-0.755057404337451,-0.850354956015537,-0.850354956015537,-1.68215427915499,0.542168656908874,0,Low Inequality
PRY,Paraguay,America,Southern Hemisphere,High,LAC,0.197329421510722,2.0424258047572,2.25253307215635,1.43888852941842,1.46837650327654,1.97469117639269,1.48794732397592,1.48995714982297,1.65952071313233,1.27563156821712,1.16356825151861,1.20404323307288,1.20404323307288,5.36167708716836,0.999397187265404,1,Medium Inequality
PSE,"Palestine, State of",Asia,Northern Hemisphere,High,AS,0.215674360352594,-0.0459981079053174,1.02921540750291,0.764349031138666,0.806217385896188,0.835508046372137,0.862584296363335,0.837082039061712,1.3095424248337,1.32390051448632,1.3286733561639,1.36847766365182,1.36847766365182,3.43181744613392,-0.979483327599899,1,Medium Inequality
QAT,Qatar,Asia,Northern Hemisphere,Very High,AS,-0.958401725527233,-0.0459981079053174,-0.0555774666642547,-0.0316169786887095,-0.0796525199518605,-0.115761004529523,-0.0921498200320227,-0.029889855523742,-0.0590572403800328,-0.0697100602763406,-0.0767876066036791,-0.102701360690709,-0.102701360690709,-0.25004939233654,0.0370541826316204,0,Low Inequality
ROU,Romania,Europe,Northern Hemisphere,Very High,SSA,-0.756607398266637,-0.0949471302869334,-0.719848462778711,-0.731237157837497,-0.836701435611897,-0.477366642123471,-0.469194419061927,-0.468812950780175,-0.207541311325149,0.0672843536068867,0.0728794155573395,-0.104908794749048,-0.104908794749048,-1.17533288393675,-0.66597743041902,0,Low Inequality
RUS,Russian Federation,Europe,Northern Hemisphere,Very High,SSA,-0.77495233710851,-0.520236579762362,-0.250949226584988,-0.241212092026617,-0.395990285300721,-0.413426116069807,-0.467870386415719,-0.516960226283498,-0.597681795335528,-0.604884042372049,-0.598573752531529,-0.550940767317228,-0.550940767317228,-1.65067732462571,0.274695548276336,0,Low Inequality
RWA,Rwanda,Africa,Southern Hemisphere,Low,SSA,1.29802575202306,1.00788692046073,1.01874807590089,1.00733598760255,1.71327006755237,1.74671677969603,1.95348608392265,1.9462991249337,1.97104838151871,1.97897621657137,1.98332043371006,0.758498966967043,0.758498966967043,5.17704594753886,-0.521975377789186,1,Medium Inequality
